repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3613,curl:curl-7_37_0:CVE-2014-3613,2014-09-10T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3613;CVE-2014-3613,8a75dbeb2305297640453029b7905ef51b87e8dd,cookies: only use full host matches for hosts used as IP address,lib/cookie.c,lib/connect.c,1,lib/cookie.c,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,lib/formdata.c,lib/telnet.c,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,lib/strdup.c,src/tool_binmode.c,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,lib/strdup.h,lib/gopher.h,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,lib/url.c,lib/ftp.c,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,lib/urldata.h,lib/config-vxworks.h,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2014-3707,curl:curl-7_37_0:CVE-2014-3707,2014-11-05T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2014-3707;CVE-2014-3707,b3875606925536f82fc61f3114ac42f29eaf6945,curl_easy_duphandle: CURLOPT_COPYPOSTFIELDS read out of bounds,src/tool_setup.h,lib/rtsp.h,8,lib/formdata.c;lib/strdup.c;lib/strdup.h;lib/url.c;lib/urldata.h;src/tool_setup.h;src/tool_strdup.c;src/tool_strdup.h,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2015-3148,curl:curl-7_37_0:CVE-2015-3148,2015-04-21T21:20:37+00:00,fixed_commit_epoch,explicit_id,CVE-2015-3148,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,http_done: close Negotiate connections when done,lib/http.c,lib/ssh.c,1,lib/http.c,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_cb_hdr.c,lib/if2ip.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
curl,curl-7_37_0,2014-05-20T21:42:47+00:00,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,explicit_id,CVE-2016-0754,3017d8a8d8849ebd4feae4f5eae037cd55736a61,curl: avoid local drive traversal when saving file (Windows),src/tool_doswin.c,src/tool_cb_dbg.c,4,src/tool_cb_hdr.c;src/tool_doswin.c;src/tool_doswin.h;src/tool_operate.c,,
